fold,strategy,accuracy,cost_pct
0,Fixed 2000,0.40350877192982454,0.25
0,Fixed 12500,0.43640350877192985,1.5625
0,Fixed 25000,0.4276315789473684,3.125
0,Fixed 50000,0.4780701754385965,6.25
0,Fixed 100000,0.5131578947368421,12.5
0,Fixed 150000,0.5263157894736842,18.75
0,Fixed 250000,0.5701754385964912,31.25
0,Fixed 400000,0.5942982456140351,50.0
0,Fixed 600000,0.6030701754385965,75.0
0,Fixed 800000,0.6118421052631579,100.0
0,Best per cluster,0.6140350877192983,67.23300438596492
0,Efficient (95%),0.5986842105263158,44.23848684210526
0,Efficient (99%),0.6140350877192983,67.23300438596492
1,Fixed 2000,0.41228070175438597,0.25
1,Fixed 12500,0.41228070175438597,1.5625
1,Fixed 25000,0.4517543859649123,3.125
1,Fixed 50000,0.44298245614035087,6.25
1,Fixed 100000,0.4692982456140351,12.5
1,Fixed 150000,0.5043859649122807,18.75
1,Fixed 250000,0.5723684210526315,31.25
1,Fixed 400000,0.5921052631578947,50.0
1,Fixed 600000,0.5942982456140351,75.0
1,Fixed 800000,0.6008771929824561,100.0
1,Best per cluster,0.6030701754385965,65.82127192982456
1,Efficient (95%),0.5877192982456141,45.39912280701755
1,Efficient (99%),0.6030701754385965,65.82127192982456
2,Fixed 2000,0.4087912087912088,0.25
2,Fixed 12500,0.4,1.5625
2,Fixed 25000,0.4197802197802198,3.125
2,Fixed 50000,0.46153846153846156,6.25
2,Fixed 100000,0.4945054945054945,12.5
2,Fixed 150000,0.5736263736263736,18.75
2,Fixed 250000,0.5802197802197803,31.25
2,Fixed 400000,0.5846153846153846,50.0
2,Fixed 600000,0.6395604395604395,75.0
2,Fixed 800000,0.6395604395604395,100.0
2,Best per cluster,0.621978021978022,62.70989010989011
2,Efficient (95%),0.6021978021978022,44.472527472527474
2,Efficient (99%),0.621978021978022,62.70989010989011
3,Fixed 2000,0.4461538461538462,0.25
3,Fixed 12500,0.44395604395604393,1.5625
3,Fixed 25000,0.432967032967033,3.125
3,Fixed 50000,0.5032967032967033,6.25
3,Fixed 100000,0.4989010989010989,12.5
3,Fixed 150000,0.5648351648351648,18.75
3,Fixed 250000,0.5868131868131868,31.25
3,Fixed 400000,0.6197802197802198,50.0
3,Fixed 600000,0.6417582417582418,75.0
3,Fixed 800000,0.6307692307692307,100.0
3,Best per cluster,0.6307692307692307,70.42857142857143
3,Efficient (95%),0.6175824175824176,54.35989010989011
3,Efficient (99%),0.6307692307692307,70.42857142857143
4,Fixed 2000,0.42857142857142855,0.25
4,Fixed 12500,0.43736263736263736,1.5625
4,Fixed 25000,0.41318681318681316,3.125
4,Fixed 50000,0.44175824175824174,6.25
4,Fixed 100000,0.512087912087912,12.5
4,Fixed 150000,0.5362637362637362,18.75
4,Fixed 250000,0.5604395604395604,31.25
4,Fixed 400000,0.5934065934065934,50.0
4,Fixed 600000,0.5912087912087912,75.0
4,Fixed 800000,0.6065934065934065,100.0
4,Best per cluster,0.5824175824175825,68.33791208791209
4,Efficient (95%),0.5626373626373626,46.510989010989015
4,Efficient (99%),0.5824175824175825,68.33791208791209
