k,silhouette,calinski_harabasz,davies_bouldin,inertia,min_cluster_n,median_cluster_n
52,0.0604882687330246,14.233728094724631,3.1482010809282377,1136.50146484375,9,32.5
54,0.06385823339223862,14.01660302903399,3.093532328096608,1128.4500732421875,5,31.0
56,0.061828725039958954,13.805191021929518,3.056096319589767,1120.7403564453125,10,30.5
58,0.06398727744817734,13.511013708421775,3.0178341898588483,1115.5626220703125,4,29.5
60,0.06350412219762802,13.252083652560472,3.0308498478799675,1110.0267333984375,4,29.0
62,0.061697836965322495,13.054101946273526,2.9673854704017506,1103.3740234375,5,26.5
64,0.06810951977968216,12.790951735812335,2.971835246498112,1098.8812255859375,7,27.5
66,0.06246694177389145,12.545696869654144,2.9564301526010768,1094.3677978515625,5,24.5
68,0.06718598306179047,12.524330019187804,2.953761273091444,1083.986328125,9,24.5
70,0.06494536250829697,12.252064248395211,2.941776162881141,1080.9722900390625,6,23.0
72,0.0660412535071373,12.106499804514476,2.9455189724941153,1074.700439453125,5,25.0
74,0.06725825369358063,11.937666790605851,2.9032656882198875,1069.4176025390625,4,24.0
76,0.06535006314516068,11.640463563861523,2.905067877548228,1068.36279296875,6,22.5
78,0.06603393703699112,11.529707016110168,2.8811703871935634,1061.96533203125,6,22.5
80,0.06527839601039886,11.283430651332528,2.980001717153516,1060.1005859375,5,22.0
82,0.06689982861280441,11.186937141608924,2.8854338606657035,1053.7784423828125,2,20.5
84,0.06614159047603607,10.973317849748145,2.833592673086942,1051.5157470703125,4,20.0
86,0.06896516680717468,10.867703596778629,2.827854098647294,1045.9716796875,4,19.0
88,0.06722944229841232,10.66045331587052,2.849380878167369,1044.0966796875,5,21.0
90,0.06670578569173813,10.640519149230704,2.8539200176584427,1036.058349609375,3,19.0
92,0.06299028545618057,10.437282152513943,2.8584859611130407,1034.5576171875,5,19.0
94,0.06639423966407776,10.228873667108841,2.8013818443225422,1033.556640625,4,17.5
96,0.06219618022441864,10.063557823256557,2.8494652055477534,1031.2998046875,5,18.5
98,0.06372565776109695,9.993451970833492,2.797332002113103,1025.770263671875,5,17.5
100,0.0634540468454361,9.852656016060592,2.8116447486946083,1023.0411987304688,5,17.0
105,0.0636507198214531,9.639534398888282,2.7533513761290584,1011.7769775390625,5,16.0
110,0.06439337879419327,9.421281615692022,2.712351880580192,1001.6777954101562,4,15.5
115,0.0626508817076683,9.140550358056638,2.729178013218981,995.0787353515625,4,15.0
120,0.06344705820083618,8.914041536072547,2.7036672676724844,987.2232666015625,3,15.0
125,0.06644020974636078,8.72868806865459,2.6715780608450506,978.445068359375,3,14.0
130,0.06838653981685638,8.58135835320769,2.635266660738188,968.7135620117188,3,12.5
135,0.06860200315713882,8.37378648495357,2.599949294242186,962.3780517578125,3,12.0
140,0.06987303495407104,8.226889489370711,2.5650287143724873,953.9356689453125,1,11.0
145,0.07275395095348358,8.087337129490225,2.509361111839564,945.7280883789062,3,11.0
150,0.0644756332039833,7.845561363576934,2.5464565482285413,943.1018676757812,2,11.0
155,0.06948216259479523,7.760455228626023,2.5238022294198537,933.33837890625,2,10.0
160,0.0675850436091423,7.698568304011258,2.4472683448771364,922.8086547851562,3,10.0
165,0.07486271858215332,7.595430258082723,2.4466184837569926,914.7742919921875,2,10.0
170,0.06899802386760712,7.440735450495764,2.4542928657067065,909.869384765625,3,9.0
175,0.07124900817871094,7.3063376875621024,2.4328144542152406,904.3719482421875,3,9.0
180,0.0690559446811676,7.209892377028735,2.4004422920233996,897.2364501953125,2,8.5
185,0.07134008407592773,7.138848125609876,2.4094481884721777,889.0505981445312,3,9.0
190,0.07295918464660645,7.003343439804778,2.3349356910366628,884.8085327148438,1,8.0
195,0.07054314017295837,6.970688456553414,2.3447096779396763,875.0822143554688,1,8.0
200,0.06927904486656189,6.844225197185044,2.353521210516091,871.0206298828125,2,8.0
