fold,strategy,accuracy,cost_pct
0,Fixed 2000,0.44956140350877194,0.25
0,Fixed 12500,0.4473684210526316,1.5625
0,Fixed 25000,0.48903508771929827,3.125
0,Fixed 50000,0.5328947368421053,6.25
0,Fixed 100000,0.5877192982456141,12.5
0,Fixed 150000,0.6118421052631579,18.75
0,Fixed 250000,0.6644736842105263,31.25
0,Fixed 400000,0.6995614035087719,50.0
0,Fixed 600000,0.6995614035087719,75.0
0,Fixed 800000,0.6907894736842105,100.0
0,Best per cluster,0.6776315789473685,66.98533442982456
0,Efficient (95%),0.6557017543859649,47.51329495614035
0,Efficient (99%),0.6776315789473685,66.98533442982456
1,Fixed 2000,0.4692982456140351,0.25
1,Fixed 12500,0.48903508771929827,1.5625
1,Fixed 25000,0.5175438596491229,3.125
1,Fixed 50000,0.5372807017543859,6.25
1,Fixed 100000,0.6074561403508771,12.5
1,Fixed 150000,0.6600877192982456,18.75
1,Fixed 250000,0.6842105263157895,31.25
1,Fixed 400000,0.6864035087719298,50.0
1,Fixed 600000,0.7236842105263158,75.0
1,Fixed 800000,0.7192982456140351,100.0
1,Best per cluster,0.6973684210526315,61.11567982456141
1,Efficient (95%),0.6995614035087719,45.23026315789474
1,Efficient (99%),0.6973684210526315,61.11567982456141
2,Fixed 2000,0.5098901098901099,0.25
2,Fixed 12500,0.5076923076923077,1.5625
2,Fixed 25000,0.5032967032967033,3.125
2,Fixed 50000,0.5318681318681319,6.25
2,Fixed 100000,0.6021978021978022,12.5
2,Fixed 150000,0.6285714285714286,18.75
2,Fixed 250000,0.6747252747252748,31.25
2,Fixed 400000,0.6857142857142857,50.0
2,Fixed 600000,0.7076923076923077,75.0
2,Fixed 800000,0.7230769230769231,100.0
2,Best per cluster,0.6967032967032967,63.4065934065934
2,Efficient (95%),0.676923076923077,41.99175824175825
2,Efficient (99%),0.6967032967032967,63.4065934065934
3,Fixed 2000,0.47692307692307695,0.25
3,Fixed 12500,0.4725274725274725,1.5625
3,Fixed 25000,0.4725274725274725,3.125
3,Fixed 50000,0.5318681318681319,6.25
3,Fixed 100000,0.578021978021978,12.5
3,Fixed 150000,0.610989010989011,18.75
3,Fixed 250000,0.6835164835164835,31.25
3,Fixed 400000,0.6901098901098901,50.0
3,Fixed 600000,0.6989010989010989,75.0
3,Fixed 800000,0.6989010989010989,100.0
3,Best per cluster,0.6659340659340659,69.22321428571429
3,Efficient (95%),0.6461538461538462,39.61401098901099
3,Efficient (99%),0.6659340659340659,69.22321428571429
4,Fixed 2000,0.4461538461538462,0.25
4,Fixed 12500,0.4593406593406593,1.5625
4,Fixed 25000,0.47912087912087914,3.125
4,Fixed 50000,0.5054945054945055,6.25
4,Fixed 100000,0.6,12.5
4,Fixed 150000,0.6593406593406593,18.75
4,Fixed 250000,0.6901098901098901,31.25
4,Fixed 400000,0.7054945054945055,50.0
4,Fixed 600000,0.701098901098901,75.0
4,Fixed 800000,0.7296703296703296,100.0
4,Best per cluster,0.6945054945054945,69.67032967032966
4,Efficient (95%),0.701098901098901,48.42032967032967
4,Efficient (99%),0.6945054945054945,69.67032967032966
